1,"Reset Position"
2,"Confirm Expenses 888888 Gold Coins"
3,"Yes"
4,"取消"
5,"前往 枪战躲猫猫(私人别墅)"
6,"MetaWorld"
7,"今日奖励（星期一）"
8,"直接领取"
9,"已在线 29/30(分钟)"
10,"在线30分钟免费领取"
11,"皮肤"
12,"1/7"
13,"免费获取"
14,"看广告可以使用这个厉害的武器哟~"
15,"Play Ads"
16,"999999"
17,"9"
18,"首充翻倍"
19,"+100000"
20,"额外+100000"
21,"88800"
22,"商店"
23,"免费领取钻石"
24,"99999"
25,"GM"
26,"Button"
27,"潜伏者"
28,"9999"
29,"保卫者"
30,"潜伏着：第一名"
31,"生命"
32,"1600"
33,"九连杀！超越神啦！"
34,"无敌时间"
35,"复活倒计时"
36,"3"
37,"复活后2秒内无敌"
38,"设置"
39,"开火灵敏度"
40,"低"
41,"中"
42,"高"
43,"控制灵敏度"
44,"背景音乐大小"
45,"音效大小"
46,"重置位置"
47,"激光烈火枪"
48,"30/无限"
49,"变身"
50,"你是谁你是谁你是"
51," 击败 "
52,"Lurkers"
53,"排名"
54,"昵称"
55,"击败"
56,"死亡"
57,"全服前500名"
58,"总击败"
59,"总死亡"
60,"战绩排行榜"
61,"全服排行榜"
62,"10"
63,"帅哥你谁啊帅哥你谁啊"
64,"100"
65,"M4A1-激光枪"
66,"永久"
67,"获得"
68,"伤害：30"
69,"9999999"
70,"使用"
71,"武器"
72,"拖尾"
73,"登陆游戏 (1/1)"
74,"500"
75,"50000"
76,"领取奖励"
77,"未完成"
78,"每日任务"
79,"剩余: 15小时"
80,"任务已全部完成，等待刷新..."
81,"每周任务"
82,"你是谁你是你是谁你是你是谁"
83,"加入潜伏者"
84,"加入保卫者"
85,"水枪"
86,"泡泡枪"
87,"霰弹枪"
88,"金枪鱼"
89,"脉冲枪"
90,"喷火枪"
91,"散弹喷枪"
92,"霰弹枪枪身"
93,"火箭发射器"
94,"激光幽灵枪"
95,"烟花枪"
96,"激光冰雷枪"
97,"尖叫鸡"
98,"{0}秒内不可重置位置"
99,"是否重置位置"
100,"是"
101,"否"
102,"是否立即使用"
103,"购买"
104,"确认花费"
105,"钻石"
106,"金币"
107,"提示"
108,"获取失败，请重试"
109,"免费领取{0}金币"
110,"免费领取"
111,"奖励翻倍\n最大生命值提高到{0}"
112,"免费提高"
113,"{0}\n免费使用一局"
114,"免费使用"
115,"免费领取{0}钻石"
116,"花费"
117,"复活后{0}秒内无敌"
118," 击败了 "
119,"你已被 {0} 击败"
120,"击败 {0} 完成复仇"
121,"{0}：第{1}名"
122,"连续消灭2人！势不可当！"
123,"连续消灭3人！勇冠三军！"
124,"连续消灭4人！无人能敌！"
125,"连续消灭5人！横扫千军！"
126,"连续消灭6人！接近神了！"
127,"连续消灭{0}人！超越神了！"
128,"全服前{0}名"
129,"已获得"
130,"未获得"
131,"伤害"
132,"子弹"
133,"屠龙激光枪3号-已完善"
134,"兜帽男"
135,"双马尾女"
136,"男战士"
